group	score_KO_HM_1	score_KO_HM_123	score_KO_HM_2	score_KO_HM_3	score_KO_Hpool_123	score_KO_LM_123	score_KO_Lpool_123	score_cDNA_HM_1	score_cDNA_HM_123	score_cDNA_HM_2	score_cDNA_HM_3	score_cDNA_Hpool_123	score_cDNA_LM_123	score_cDNA_Lpool_123	lfc_KO_HM_1	lfc_KO_HM_123	lfc_KO_HM_2	lfc_KO_HM_3	lfc_KO_Hpool_123	lfc_KO_LM_123	lfc_KO_Lpool_123	lfc_cDNA_HM_1	lfc_cDNA_HM_123	lfc_cDNA_HM_2	lfc_cDNA_HM_3	lfc_cDNA_Hpool_123	lfc_cDNA_LM_123	lfc_cDNA_Lpool_123	p_KO_HM_1	p_KO_HM_123	p_KO_HM_2	p_KO_HM_3	p_KO_Hpool_123	p_KO_LM_123	p_KO_Lpool_123	p_cDNA_HM_1	p_cDNA_HM_123	p_cDNA_HM_2	p_cDNA_HM_3	p_cDNA_Hpool_123	p_cDNA_LM_123	p_cDNA_Lpool_123	logP_KO_HM_1	logP_KO_HM_123	logP_KO_HM_2	logP_KO_HM_3	logP_KO_Hpool_123	logP_KO_LM_123	logP_KO_Lpool_123	logP_cDNA_HM_1	logP_cDNA_HM_123	logP_cDNA_HM_2	logP_cDNA_HM_3	logP_cDNA_Hpool_123	logP_cDNA_LM_123	logP_cDNA_Lpool_123	fdr_KO_HM_1	fdr_KO_HM_123	fdr_KO_HM_2	fdr_KO_HM_3	fdr_KO_Hpool_123	fdr_KO_LM_123	fdr_KO_Lpool_123	fdr_cDNA_HM_1	fdr_cDNA_HM_123	fdr_cDNA_HM_2	fdr_cDNA_HM_3	fdr_cDNA_Hpool_123	fdr_cDNA_LM_123	fdr_cDNA_Lpool_123	guides_good_KO_HM_1	guides_good_KO_HM_123	guides_good_KO_HM_2	guides_good_KO_HM_3	guides_good_KO_Hpool_123	guides_good_KO_LM_123	guides_good_KO_Lpool_123	guides_good_cDNA_HM_1	guides_good_cDNA_HM_123	guides_good_cDNA_HM_2	guides_good_cDNA_HM_3	guides_good_cDNA_Hpool_123	guides_good_cDNA_LM_123	guides_good_cDNA_Lpool_123	guides_KO_HM_1	guides_KO_HM_123	guides_KO_HM_2	guides_KO_HM_3	guides_KO_Hpool_123	guides_KO_LM_123	guides_KO_Lpool_123	guides_cDNA_HM_1	guides_cDNA_HM_123	guides_cDNA_HM_2	guides_cDNA_HM_3	guides_cDNA_Hpool_123	guides_cDNA_LM_123	guides_cDNA_Lpool_123
RIMS1	0.35105	0.23823	0.18671	0.30478	0.13994	0.33896	0.34173	0.45195	0.24913	0.3311	0.088847	0.35153	0.43952	0.18681	-0.5246550000000001	-0.360154	0.21966	-0.43913500000000005	-0.3502365	0.334345	0.37082	0.255265	0.159408	0.04038	0.674625	0.17699	-0.057499999999999996	-0.046280000000000016	0.5779	0.43553	0.39147	0.53103	0.28369	0.56178	0.50767	0.67529	0.46999	0.5613	0.24068	0.52513	0.66009	0.35269	0.23814730553361696	0.360981924730432	0.4073015141518147	0.27488094320021683	0.5471559727038374	0.2504337262313613	0.2944184998205462	0.17050968146147766	0.32791138247071067	0.25080495778032763	0.6185599971803818	0.27973317032027545	0.18039684652082125	0.45260685393156713	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.995753	2	3	3	3	3	3	2	3	2	1	3	2	2	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RIMS2	0.32896	0.51374	0.094729	0.48346	0.4324	0.46248	0.32215	0.33644	0.27845	0.56511	0.98743	0.30082	0.044903	0.058009	0.19789400000000001	-0.506564	-0.31455	0.204073	-0.5034665	-0.493635	-0.45754999999999996	0.724215	0.40031000000000005	0.26548	-0.878415	0.16811	0.006159999999999999	-0.22126	0.54588	0.68039	0.24028	0.65897	0.58245	0.68258	0.49182	0.5682	0.50032	0.75576	0.98747	0.48659	0.14442	0.1566	0.26290281712242	0.16724207803526808	0.6192823767246823	0.1811343564697615	0.23474135039827113	0.16584644095759635	0.30819381452973643	0.24549877061308292	0.300752136101142	0.12161609765185008	0.0054760896583299756	0.31283682057874135	0.8403726593413264	0.8052082422780754	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.850164	0.935274	2	1	3	1	1	2	2	3	2	2	0	1	2	3	5	6	6	5	6	6	6	6	6	6	5	6	6	6
RING1	0.17038	0.29231	0.10872	0.19673	0.40786	0.20703	0.65929	0.30513	0.10543	0.076376	0.34026	0.0029293	0.0012246	0.034141	0.224265	0.226976	0.113267	0.304085	0.1669835	-0.042245000000000005	-0.07353000000000001	-0.44186499999999995	0.41596999999999995	0.73338	0.328235	0.60629	0.7232299999999999	0.89967	0.37677	0.4998	0.2666	0.41855	0.56109	0.42703	0.73507	0.53895	0.2625	0.21463	0.57348	0.012443	0.006092	0.10048	0.4239236848418684	0.30120374820956874	0.5741398549221596	0.37825265373518335	0.2509674714204419	0.36954161355391957	0.13367130150604065	0.26845152373966924	0.5808706922580243	0.6683095744303696	0.24148172343158125	1.9050748988758377	2.215240105335995	0.9979203736068791	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.370234	0.46622	0.916104	4	3	2	3	2	3	1	1	3	4	3	3	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RIOK3	0.20283	0.23269	0.21284	0.3984	0.10086	0.020543	0.060172	0.24586	0.61446	0.7282	0.48625	0.58181	0.67239	0.63195	0.1149716	-0.030754000000000004	0.0595647	0.303555	0.1138435	0.023737999999999995	0.196328	-0.006174999999999986	-0.6783199999999999	-0.4982	-0.36582500000000007	-0.41524999999999995	-0.05496000000000001	0.194552	0.4284	0.42926	0.42102	0.62231	0.22473	0.075047	0.16214	0.48253	0.76966	0.84453	0.70622	0.71763	0.80363	0.72138	0.368150537840182	0.36727957876638845	0.37569727308754086	0.20599322021121463	0.6483389482093274	1.1246666639734983	0.7901098313187422	0.31647568039390384	0.1137010835726272	0.07338491849907726	0.15105998747152602	0.144099414219646	0.09494385914222192	0.14183590250842854	0.998643	0.999874	0.999582	0.998991	0.999996	0.936643	0.983214	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.999996	3	3	2	2	3	5	4	2	2	2	2	2	2	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RIT1	0.13777	0.73741	0.28995	0.99453	0.90715	0.045102	0.17191	0.72437	0.52128	0.43761	0.3766	0.38823	0.0167	0.091753	0.046751	-0.322334	0.25134	-0.9852249999999999	-0.3468565	0.753295	0.75369	-1.1283949999999998	-0.28049999999999997	0.005980000000000013	-0.9758150000000001	-0.38182999999999995	0.79738	0.6819200000000001	0.32164	0.82613	0.50608	0.99451	0.90757	0.14724	0.33266	0.84429	0.71684	0.66103	0.60667	0.5541	0.06234	0.21174	0.49262994655595216	0.08295160662602157	0.2957808254283524	0.0023908455983848733	0.04211986828488783	0.8319741912253709	0.4779994168157304	0.07350835459807946	0.144577768838969	0.17977883016821128	0.21704748050772613	0.25641184984009613	1.205233202059179	0.6741970912563872	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.779319	0.935274	3	1	2	0	0	4	3	2	2	3	2	2	3	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RLIM	0.77381	0.3816	0.23507	0.26549	0.46861	0.73174	0.8482	0.15197	0.73584	0.77478	0.51057	0.75442	0.31811	0.19973	-0.316955	-0.406494	-0.54684	0.024469000000000005	-0.3606765	-0.211175	-0.14037	0.382755	0.04090500000000001	0.033310000000000006	-0.26438500000000004	0.20636500000000002	0.11932000000000001	0.27815999999999996	0.873	0.59234	0.44559	0.49205	0.61429	0.84404	0.84994	0.34769	0.84561	0.87372	0.72741	0.79262	0.53884	0.37142	0.05898575629443027	0.22742893899046734	0.3510645642291911	0.3079907638570717	0.21162655448373824	0.07363697118520324	0.07061173144881303	0.45880779999051985	0.07282988979814722	0.058627722900777966	0.13822073281805863	0.10093497340978702	0.2685401725361421	0.43013471433943284	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.995753	2	1	3	3	1	2	1	3	2	1	2	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RMND5A	0.65476	0.72176	0.33373	0.76115	0.3478	0.4314	0.32513	0.10206	0.26668	0.42671	0.055773	0.18552	0.18758	0.25561	-0.49013500000000004	-0.156674	0.32838	0.04300999999999999	0.0627345	-0.168875	0.07593499999999999	0.452755	0.058550000000000005	-0.03764999999999999	1.067305	0.191258	0.050068	0.16561099999999998	0.8001	0.82076	0.55094	0.86431	0.50986	0.65279	0.49419	0.26282	0.48825	0.6509	0.17608	0.35331	0.40183	0.43647	0.09685572959046142	0.08578381719641444	0.25889569531838746	0.06333046221721585	0.292549058361398	0.18522650710052393	0.3061060468512983	0.58034158903942	0.311357748040108	0.18648572845811687	0.7542899704547085	0.45184407022618583	0.3959576426298583	0.3600456014021775	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.975239	0.995753	1	1	3	1	2	1	1	4	3	2	5	3	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RMND5B	0.13024	0.073057	0.23958	0.64317	0.037189	0.45317	0.36882	0.019542	0.31917	0.35398	0.80663	0.38876	0.037403	0.039448	0.077194	0.15210800000000002	0.30928	-0.118755	0.3003135	-0.231595	-0.05581	0.819545	0.31028	0.221769	0.13757919999999998	0.31635	0.29500000000000004	0.28518	0.30888	0.19364	0.45053	0.79082	0.10834	0.67384	0.5301	0.073027	0.54103	0.58255	0.89578	0.55439	0.12528	0.11313	0.5102102113840074	0.713004926031148	0.3462762848166299	0.10192235582295413	0.9652111687488161	0.17144321231651855	0.27564219577357346	1.1365165401117612	0.2667786526878347	0.2346667934054866	0.04779863823716918	0.2561846120614507	0.9021182552861318	0.9464222128747174	0.998643	0.999874	0.999582	0.998991	0.982471	0.999973	0.999996	0.814039	0.99906	0.996673	0.999828	0.999996	0.824245	0.933821	3	3	3	2	3	2	2	5	2	2	2	1	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RNF10	0.40232	0.5893	0.69168	0.18979	0.36695	0.096785	0.094188	0.4068	0.34929	0.43034	0.47602	0.27313	0.017002	0.05191	0.148509	-0.040464	-0.08864	0.184969	0.012298500000000004	0.157305	0.23537999999999998	0.069178	-0.025719999999999993	-0.44509	0.259355	0.1403326	0.52883	0.6814	0.6271	0.73366	0.81318	0.40762	0.5256	0.24819	0.21613	0.6339	0.57049	0.65439	0.69721	0.46545	0.063276	0.14238	0.20266319922465018	0.13450515852210806	0.08981331128885765	0.38974451535121807	0.2793446434482757	0.6052157209529626	0.6652849465356421	0.19797924822802418	0.24375196383626976	0.18416334591680983	0.1566363924833386	0.33212696536015307	1.1987609826209111	0.8465510113990173	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.779319	0.933821	2	1	1	3	1	2	2	2	2	2	3	2	5	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6
RNF103	0.0065706	0.081239	0.25541	0.095392	0.021255	0.042442	0.081323	0.42717	0.18887	0.83421	0.38167	0.058732	0.34718	0.12993	0.868385	0.517856	0.35325	0.140107	0.5251535	0.423605	0.45659	-0.312785	-0.37868999999999997	-0.61234	-0.157845	-0.07094999999999999	0.25695	0.5518799999999999	0.029783	0.21013	0.46852	0.24723	0.067331	0.14012	0.19623	0.65261	0.40557	0.90333	0.61162	0.15868	0.56729	0.26937	1.5260315585037658	0.677511939481922	0.3292718653861379	0.6068988311401132	1.1717849353425875	0.8534998713543452	0.7072345961483723	0.18534627576489962	0.39193417723565843	0.04415356641087734	0.2135183215794983	0.7994778081978872	0.24619487196693335	0.5696507737204838	0.689268	0.999874	0.999582	0.998991	0.909483	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.960288	0.999996	0.970416	4	3	3	3	3	4	3	2	2	1	2	2	3	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
