group	score_KO_HM_1	score_KO_HM_123	score_KO_HM_2	score_KO_HM_3	score_KO_Hpool_123	score_KO_LM_123	score_KO_Lpool_123	score_cDNA_HM_1	score_cDNA_HM_123	score_cDNA_HM_2	score_cDNA_HM_3	score_cDNA_Hpool_123	score_cDNA_LM_123	score_cDNA_Lpool_123	lfc_KO_HM_1	lfc_KO_HM_123	lfc_KO_HM_2	lfc_KO_HM_3	lfc_KO_Hpool_123	lfc_KO_LM_123	lfc_KO_Lpool_123	lfc_cDNA_HM_1	lfc_cDNA_HM_123	lfc_cDNA_HM_2	lfc_cDNA_HM_3	lfc_cDNA_Hpool_123	lfc_cDNA_LM_123	lfc_cDNA_Lpool_123	p_KO_HM_1	p_KO_HM_123	p_KO_HM_2	p_KO_HM_3	p_KO_Hpool_123	p_KO_LM_123	p_KO_Lpool_123	p_cDNA_HM_1	p_cDNA_HM_123	p_cDNA_HM_2	p_cDNA_HM_3	p_cDNA_Hpool_123	p_cDNA_LM_123	p_cDNA_Lpool_123	logP_KO_HM_1	logP_KO_HM_123	logP_KO_HM_2	logP_KO_HM_3	logP_KO_Hpool_123	logP_KO_LM_123	logP_KO_Lpool_123	logP_cDNA_HM_1	logP_cDNA_HM_123	logP_cDNA_HM_2	logP_cDNA_HM_3	logP_cDNA_Hpool_123	logP_cDNA_LM_123	logP_cDNA_Lpool_123	fdr_KO_HM_1	fdr_KO_HM_123	fdr_KO_HM_2	fdr_KO_HM_3	fdr_KO_Hpool_123	fdr_KO_LM_123	fdr_KO_Lpool_123	fdr_cDNA_HM_1	fdr_cDNA_HM_123	fdr_cDNA_HM_2	fdr_cDNA_HM_3	fdr_cDNA_Hpool_123	fdr_cDNA_LM_123	fdr_cDNA_Lpool_123	guides_good_KO_HM_1	guides_good_KO_HM_123	guides_good_KO_HM_2	guides_good_KO_HM_3	guides_good_KO_Hpool_123	guides_good_KO_LM_123	guides_good_KO_Lpool_123	guides_good_cDNA_HM_1	guides_good_cDNA_HM_123	guides_good_cDNA_HM_2	guides_good_cDNA_HM_3	guides_good_cDNA_Hpool_123	guides_good_cDNA_LM_123	guides_good_cDNA_Lpool_123	guides_KO_HM_1	guides_KO_HM_123	guides_KO_HM_2	guides_KO_HM_3	guides_KO_Hpool_123	guides_KO_LM_123	guides_KO_Lpool_123	guides_cDNA_HM_1	guides_cDNA_HM_123	guides_cDNA_HM_2	guides_cDNA_HM_3	guides_cDNA_Hpool_123	guides_cDNA_LM_123	guides_cDNA_Lpool_123
AAAS	0.92544	0.36315	0.033311	0.40828	0.29125	0.33062	0.096694	0.62966	0.4687	0.11411	0.24233	0.18406	0.24748	0.14111	-1.237695	-0.656664	1.2225700000000002	-1.789425	-1.2590165	0.490895	-0.59599	-0.809665	-1.26049	0.83148	-1.688615	-0.8378699999999999	-1.4889000000000001	-1.08824	0.92579	0.50948	0.09474	0.56723	0.46265	0.54733	0.22013	0.76712	0.6877	0.27645	0.48152	0.35121	0.46641	0.28632	0.03348751459692628	0.29287285986191436	1.0234666196080622	0.24624080799087028	0.3347474334965179	0.2617507468558773	0.6573207664125232	0.1151366943803092	0.1626009756579775	0.558383405725245	0.3173856696832665	0.4544331269259859	0.33123214671760676	0.5431483146180521	0.998643	0.999874	0.84589	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.978801	0.978752	0	1	2	1	2	3	1	1	2	2	2	2	3	2	4	4	4	4	6	5	6	5	6	5	6	6	6	6
ABTB1	0.96586	0.38806	0.31494	0.15044	0.69142	0.305	0.058694	0.22015	0.16975	0.037467	0.12158	0.060484	0.37026	0.91974	-0.5400149999999999	-0.21218399999999998	-0.20821000000000003	0.068829	-0.11567649999999999	0.0999027	0.22079	0.286795	0.63049	0.63498	0.24598199999999998	0.52217	0.37238000000000004	0.25068999999999997	0.96625	0.59644	0.53164	0.34303	0.74597	0.52803	0.15875	0.45445	0.37494	0.12583	0.29716	0.16284	0.5907	0.9198	0.014910493073618653	0.22443323846393318	0.27438235066808836	0.4646678966781735	0.12727863780405774	0.27734140234434346	0.7992862660359867	0.3425138922409401	0.42603822494894805	0.9002158033964223	0.5270096503233419	0.788238906292638	0.22863302914221936	0.03630659476198122	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.983214	0.999406	0.99906	0.980275	0.999828	0.960288	0.999996	0.999996	0	2	3	4	1	3	1	2	3	5	4	3	3	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ABTB2	0.047371	0.59322	0.19481	0.90404	0.98406	0.83778	0.93939	0.10221	0.0079514	0.0085468	0.68167	0.0036757	0.03961	0.21092	0.419865	0.130554	0.43039	0.03722	-0.0440165	-0.264455	-0.41284000000000004	0.693685	0.58666	0.59726	-0.280565	0.86602	0.3509	0.61866	0.15343	0.73636	0.401	0.92324	0.98386	0.89398	0.94026	0.26308	0.03323	0.036699	0.82107	0.015233	0.13106	0.38724	0.8140897149592855	0.13290981094897894	0.39685562737981767	0.03468538767735093	0.007066695830007413	0.048672197072982905	0.026752039004500194	0.5799121668127815	1.4784696587212889	1.435345769546244	0.08561981569688054	1.8172145579153167	0.8825298363798801	0.4120197885484702	0.95066	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.668651	0.670409	0.999828	0.395743	0.827718	0.995753	3	2	3	1	0	1	0	4	5	5	2	5	5	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ADRM1	0.37567	0.57574	0.73537	0.91536	0.68752	0.67752	0.50092	0.040199	0.67289	0.49647	0.092672	0.36072	0.21765	0.090344	-0.052895	0.023280000000000002	9.399999999999686e-5	-0.388145	0.023975500000000004	-0.182915	-0.15715	0.611785	0.21360099999999999	0.28086	0.32504500000000003	0.32761	0.50001	0.60597	0.60111	0.72391	0.84379	0.92875	0.74377	0.80869	0.64457	0.13431	0.80483	0.71426	0.24725	0.53211	0.43446	0.20973	0.22104604709594078	0.14031542404177902	0.07376562587349507	0.03210117323136831	0.12856134291333673	0.09221792720182434	0.19072991157213404	0.8718916508968925	0.09429584368025827	0.14614367056101613	0.606863699730783	0.27399857925605176	0.3620502021357907	0.6783394431513297	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.940995	0.99906	0.996673	0.999828	0.999996	0.975426	0.935274	2	1	2	1	1	2	2	5	2	2	2	1	3	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
AFP	0.65374	0.49298	0.17948	0.17611	0.17459	0.75237	0.60572	0.095815	0.31948	0.28009	0.036691	0.25345	0.75375	0.15905	-0.17329499999999998	-0.130794	-0.18198	0.20177499999999998	0.2763335	-0.7332350000000001	-0.29911	0.339205	0.192585	-0.77499	0.501215	0.36827	0.205547	0.37544999999999995	0.79954	0.6654	0.38312	0.38563	0.33572	0.85783	0.71311	0.25197	0.54135	0.51388	0.12464	0.44621	0.85771	0.31273	0.09715980415699034	0.1769172034671963	0.4166651759654487	0.4138291876124218	0.47402278555893207	0.06659876970031181	0.14684347336232675	0.5986511640202198	0.26652185888481156	0.28913828455001195	0.9043425596715108	0.3504607009814642	0.06665952647417123	0.5048304551513328	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.991135	2	2	1	3	2	2	1	3	3	1	5	3	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6
AKTIP	0.049979	0.057303	0.26229	0.31162	0.073667	0.32488	0.5766	0.28497	0.96181	0.93194	0.52517	0.93004	0.68283	0.50088	0.053685	0.044892	0.28306	-1.4488249999999998	0.08622350000000001	-1.162855	-1.09565	-0.36334500000000003	-0.33958999999999995	-0.44527000000000005	-0.701515	-0.0915	-0.33523000000000003	-0.09995000000000001	0.16062	0.15982	0.47612	0.53781	0.18217	0.54801	0.7022	0.5196	0.96253	0.94106	0.74057	0.9305	0.81039	0.6439	0.7942003784294237	0.7963688736694875	0.3222835750741035	0.269371126797651	0.7395231416725769	0.26121151650615254	0.15353917487066757	0.2843308575990098	0.01658572557903102	0.026382685990165463	0.1304338849119452	0.031283622533214185	0.09130592669468406	0.19118157490787574	0.951349	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.999996	4	3	2	2	2	1	1	2	0	1	2	0	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6
AMBRA1	0.36726	0.03776	0.11036	0.10956	0.1726	0.36062	0.47291	0.25672	0.0053296	0.0054738	0.064266	0.051927	0.26063	0.29271	0.214415	-0.172114	0.087991	-0.399215	-0.3798765	-0.368585	-0.55897	-0.41818500000000003	0.40352	1.00607	0.935495	-0.08326	0.43508	-0.07999	0.58415	0.11785	0.253	0.27202	0.33297	0.58317	0.6192	0.49259	0.024007	0.022157	0.17431	0.14295	0.48033	0.46662	0.2334756189704777	0.9286704131396575	0.5968794788241821	0.5653991637219795	0.47759489388520204	0.23420482551582317	0.20816905232516383	0.3075144089583478	1.6196621075335096	1.65448904230305	0.758677697111227	0.8448158403059923	0.3184602877570877	0.33103665066123195	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.578383	0.593762	0.999828	0.951093	0.98873	0.999996	2	3	3	3	2	2	2	3	4	4	4	4	3	2	5	6	5	6	6	6	6	6	6	5	5	6	6	6
AMFR	0.15655	0.033788	0.6842	4.4749e-4	0.0025189	0.35057	0.42361	0.067869	0.43168	0.20231	0.57842	0.73605	0.0058021	0.061966	0.680255	0.515456	-0.21457	0.928135	0.5019835	0.135357	0.148869	0.09167	-0.38661	0.083227	-0.382115	-0.5485899999999999	0.8606699999999999	0.6796500000000001	0.35399	0.10857	0.8081	0.0021462	0.010362	0.57329	0.57661	0.20038	0.65255	0.42762	0.76781	0.78308	0.02543	0.1655	0.4510090063531986	0.9642901621721383	0.09253489323414378	2.668329809467387	1.9845564120488977	0.2416256336355745	0.23911783002419065	0.6981456277304133	0.18538620599404024	0.3689419908194027	0.11474623590637431	0.10619386784783091	1.5946536398242912	0.7812020018882624	0.998643	0.991671	0.999582	0.150339	0.431776	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.735204	0.935274	4	4	1	6	3	2	2	3	3	4	2	1	5	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ANAPC1	0.95744	0.21743	0.15757	0.031645	0.36499	0.7045	0.80171	0.91995	0.53703	0.81458	NA	0.73864	0.89667	0.99162	-4.606095000000001	0.777886	2.16607	4.559875	0.5865834999999999	0.044723	-0.86931	-3.232595	-1.3711900000000001	-5.47476	NA	-1.7899699999999998	-2.4682	-2.89404	0.9579	0.27503	0.15728	0.031543	0.36511	0.70403	0.80345	0.91978	0.54506	0.81569	NA	0.73871	0.89656	0.99205	0.01867982674089269	0.560619931173937	0.8033264995119396	1.501097004048135	0.43757627199318133	0.15240883438507244	0.09504114491152955	0.036316038101915735	0.26355568811849084	0.08847486191919543	NA	0.13152602184618073	0.047420641074499836	0.0034664385546242936	0.998643	0.999874	0.9653	0.609206	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	NA	0.999996	0.999996	0.999996	0	1	1	1	0	0	0	0	1	0	NA	0	0	0	2	2	1	1	1	2	1	2	2	1	NA	2	2	2
ANAPC10	0.053819	0.91989	0.99595	0.2005	0.99817	0.96726	0.99974	0.090312	0.95965	0.99287	0.036376	0.99976	0.99678	0.99995	-1.420895	-1.745784	-4.078530000000001	-0.256115	-2.4643165000000002	-2.767355	-3.65035	-0.739625	-3.52449	-4.31496	-1.740715	-3.9869700000000003	-2.2142999999999997	-2.74534	0.13898	0.92042	0.99583	0.32079	0.99815	0.96778	0.99975	0.2315	0.95955	0.99292	0.11026	0.99981	0.9967	0.99996	0.857047692656568	0.03601395302461474	0.0018147944712800818	0.4937791784567947	8.041888958234434e-4	0.014223357200930827	1.085871944407351e-4	0.635449004646028	0.017932390226756103	0.0030857413919970094	0.9575820118567497	8.252379157010987e-5	0.0014355417390583397	1.7372126720998196e-5	0.948155	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.98308	0.999996	0.999996	0.999996	1	1	0	2	0	0	0	1	0	0	2	0	0	0	4	6	5	3	5	6	5	5	5	3	5	5	5	5
ANAPC11	0.94624	0.3532	0.69233	NA	0.99827	0.83333	0.99581	0.0060448	0.69396	0.92091	8.6778e-5	0.85623	0.58921	NA	-3.8433949999999997	-0.146754	-1.1808299999999998	NA	-3.2108165	-2.3706549999999997	-3.95115	6.285005	0.26391	-7.21716	7.363685	-0.54721	-0.50111000000000006	NA	0.94663	0.3787	0.69365	NA	0.99834	0.83208	0.99585	0.005782	0.6942	0.92148	1.6476e-4	0.85541	0.59075	NA	0.023819736263541263	0.4217046948791738	0.15885960938788568	NA	7.215278739192643e-4	0.07983491663199727	0.0018060722973983682	2.237921912665361	0.1585153906646068	0.03551408636340723	3.7831482167156203	0.06782567701650752	0.22859626969559338	NA	0.998643	0.999874	0.999582	NA	0.999996	0.999973	0.999996	0.280471	0.99906	0.996673	0.026609	0.999996	0.999996	NA	0	1	0	NA	0	0	0	1	0	0	2	0	0	NA	2	2	1	NA	2	2	2	1	2	1	2	3	1	NA
ANAPC13	0.98096	0.84971	0.03881	0.098495	0.8113	0.55529	0.40435	0.01536	0.31714	0.084525	0.92676	0.3196	0.3899	0.56009	-1.447395	-0.791924	1.43337	-0.48065500000000005	-0.5662564999999999	-0.41875500000000004	-0.6071900000000001	1.657705	0.158689	-0.40671999999999997	-1.7277150000000001	-0.56633	0.18312	-0.56911	0.98103	0.85328	0.11306	0.24812	0.81012	0.70745	0.54781	0.056521	0.53123	0.21881	0.9271	0.46858	0.58407	0.64155	0.008317711646306854	0.06890843366119856	0.9466910188759001	0.6053382275070711	0.09145064596355494	0.1503042490777867	0.26137004417921034	1.2477901629834225	0.27471740715930976	0.6599328338670464	0.032873418923587215	0.32921625196398485	0.2335351001617029	0.19276949068750773	0.998643	0.999874	0.904866	0.998991	0.999996	0.999973	0.999996	0.768682	0.99906	0.996673	0.999828	0.999996	0.999996	0.999996	0	1	3	3	1	2	2	3	3	4	0	2	2	1	5	5	5	5	5	5	5	5	5	5	4	5	5	5
ANAPC2	2.0499e-4	6.687e-4	0.0028113	0.91619	2.6508e-4	0.77999	0.49998	0.62076	0.8307	0.99205	0.024025	0.82304	0.97364	0.98993	1.786405	1.190616	6.72587	-7.1221250000000005	-1.2924164999999999	-0.501425	-2.15415	-0.616575	-2.08819	-4.10066	-0.9860150000000001	-1.75857	-3.4556999999999998	-2.91514	6.3027e-4	0.0011489	0.0025498	0.91661	0.0011234	0.78028	0.55911	0.62253	0.8295	0.99229	0.06036	0.82198	0.97408	0.99039	3.2004733642126837	2.939717770561654	2.593493883214198	0.037815409014504385	2.9494655804598766	0.10774952470173348	0.2525027400683155	0.20583971488199412	0.08118360963962049	0.003361385311566125	1.2192507688964478	0.08513874936421666	0.01140537358155883	0.004193753387309817	0.058345	0.074505	0.192244	0.998991	0.14703	0.999973	0.999996	0.999406	0.99906	0.996673	0.829629	0.999996	0.999996	0.999996	2	1	1	0	1	1	1	0	0	0	1	0	0	0	3	2	1	1	4	3	4	1	3	3	3	3	2	2
ANAPC4	0.53164	0.94295	0.0031517	0.80286	0.99654	0.80758	0.99856	0.92547	0.85476	0.020099	0.99557	0.99998	0.81552	0.99981	-1.864195	-4.064584	-0.19011	-3.1491249999999997	-3.5019165	-2.605655	-2.63825	-5.475695	-3.12449	4.58854	-8.065014999999999	-4.23337	-1.7297	-3.27464	0.54111	0.94287	0.0060285	0.80451	0.99656	0.80907	0.99845	0.92608	0.85383	0.020401	0.99552	0.99999	0.81454	0.99981	0.266714440000723	0.025548182315285918	2.219790734752284	0.09446855328300303	0.0014965485596100483	0.09201390199887904	6.73678682910036e-4	0.033351494897075354	0.06862858997999292	1.6903485441506807	0.0019500105713906415	4.342966533881614e-6	0.08908758372781425	8.252379157010987e-5	0.998643	0.999874	0.288013	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.584912	0.999828	0.999996	0.999996	0.999996	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	2	1	2	1	3	1	2	1	2	4	3	4
ANAPC5	0.96621	0.99503	0.8364	0.92298	0.99998	0.34074	0.47153	NA	0.70105	0.87317	3.4502e-4	0.90065	0.30179	0.99865	-5.559795	-3.242784	-3.02143	-4.177125	-3.6792165000000003	-0.834945	-1.01295	NA	-1.2356900000000002	-6.49976	9.062085	-3.31177	0.61529	-2.64284	0.96639	0.99489	0.83711	0.92305	0.99998	0.4828	0.49185	NA	0.70141	0.8739	3.5634e-4	0.90115	0.43763	0.99879	0.014847572687439362	0.0022249343637107412	0.07721747001854555	0.034774773366330315	8.68597649812824e-6	0.31623273857468837	0.3081673242749535	NA	0.15402804667541703	0.05853826065267026	3.4481354243393345	0.04520291296074678	0.3588929143074485	5.258145050711162e-4	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	NA	0.99906	0.996673	0.051155	0.999996	0.975669	0.999996	0	0	0	0	0	2	1	NA	0	0	1	0	2	0	2	3	1	2	4	3	3	NA	2	1	1	4	3	4
ANAPC7	0.37303	0.9195	0.87827	0.99508	0.95819	0.27099	0.56398	0.27263	0.44251	0.32756	0.99082	0.64027	0.43478	0.23291	0.074749	-0.388784	-0.92688	-1.7705250000000001	-0.5764564999999999	-0.06825500000000001	-0.23048000000000002	-0.543855	-1.10149	-0.46973	-1.488115	-0.8166500000000001	-0.45404	-0.17721000000000003	0.5988	0.92008	0.90053	0.99515	0.95898	0.49369	0.69721	0.50815	0.66337	0.55806	0.99078	0.74114	0.65538	0.41777	0.22271820832898526	0.03617440955873785	0.04550181464074407	0.0021114526588834077	0.018190450160109773	0.30654566959797597	0.1566363924833386	0.29400807008530055	0.17824417274577714	0.2533191052415168	0.004022768716504082	0.13009974683243417	0.18350681596275017	0.3790627498565365	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.995753	3	1	1	0	0	3	1	2	1	2	0	1	3	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ANKFY1	0.86534	0.58378	0.64471	0.6763	0.79444	0.59619	0.77192	0.92941	0.95289	0.38512	0.61938	0.98596	0.31341	0.10031	-0.7901849999999999	-0.321414	-0.20447	-0.03448499999999999	-0.1222165	0.046918	0.26937	-1.903095	-0.63006	0.136325	0.077814	-0.59335	0.41400000000000003	0.43122	0.90974	0.72969	0.78173	0.81048	0.80581	0.76082	0.79339	0.94044	0.95371	0.61153	0.78821	0.98674	0.53391	0.22488	0.041082709546275596	0.1368616054734909	0.10694322105496612	0.09125769765298246	0.09376734737470575	0.11871807943621525	0.10051327773657014	0.026668907184453073	0.020583663604371163	0.2135822327979782	0.10335805955254022	0.0057972662162834015	0.2725319448395108	0.6480491674006157	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.999996	0.942303	1	2	2	2	1	2	1	1	1	3	1	0	2	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ANKIB1	0.11945	0.1307	0.19365	0.19214	0.15062999999999999	0.41582	0.78241	0.15859	0.18992	0.15127	0.14987	0.062924	0.023528	0.0091284	0.496805	0.11433299999999999	0.072681	0.065383	0.1982335	0.062016999999999996	0.16999799999999998	0.34609500000000004	0.37477000000000005	0.43203	0.222107	0.3902	0.42103	0.43195	0.29063	0.30316	0.39968	0.4114	0.30001	0.63778	0.80006	0.35877	0.40687	0.34653	0.34474	0.16855	0.083496	0.034821	0.5366595580972211	0.5183281016061868	0.39828758330595854	0.3857357126412948	0.5228642690388768	0.1953291038227963	0.09687744214330583	0.4451838793937515	0.390544331072684	0.460259161425996	0.46250832270920367	0.7732712431430092	1.078334329540805	1.4581587608394302	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.960288	0.779319	0.807726	2	3	3	4	3	3	1	3	3	4	3	4	3	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ANKUB1	0.65745	0.31288	0.35647	0.47297	0.11666	0.0014148	0.0045735	0.29601	0.48962	0.42702	0.33275	0.36623	0.023497	0.032586	-0.345775	0.12356	0.29703	0.295655	0.08519650000000001	0.692115	0.6753800000000001	0.090115	0.12562700000000002	0.165843	-0.03468500000000002	0.159384	0.66197	0.67045	0.80184	0.52242	0.57427	0.69251	0.24865	0.0067316	0.018305	0.53025	0.6986	0.65122	0.56671	0.53615	0.083458	0.096064	0.09591228265026268	0.28198020515684663	0.2408838707722305	0.1595739509083336	0.6044115364317563	2.171881698244925	1.7374302667824502	0.27551932281140057	0.15577141869837205	0.18627227004106345	0.2466391238566482	0.2707136896753958	1.0785320269975573	1.0174393337728425	0.998643	0.999874	0.999582	0.998991	0.999996	0.525495	0.639122	0.999406	0.99906	0.996673	0.999828	0.999996	0.779319	0.898248	2	2	3	2	3	4	3	3	2	3	1	2	5	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6
APPBP2	0.092687	0.08992	0.4584	0.40876	0.023725	0.41914	0.37762	0.11484	0.088578	0.13929	0.074190999999999993	0.73261	0.0093993	0.13194	0.35745499999999997	0.211206	0.07019	0.020472000000000004	0.4296235	0.17438700000000001	0.41806	0.686755	0.44294999999999995	0.45254	-0.47892500000000005	0.46976	0.59378	0.61375	0.2432	0.22756	0.6682	0.63201	0.073652	0.64092	0.53719	0.28461	0.23149	0.32636	0.21345	0.78124	0.038025	0.27243	0.6140364293993027	0.642904074904266	0.1750935286978875	0.19927605002384816	1.1328154555128567	0.19319617598323785	0.2698720804881354	0.5457498446996554	0.6354677650720403	0.4863030755425955	0.6707038408600344	0.1072155286528144	1.4199307772749639	0.5647450696041022	0.998643	0.999874	0.999582	0.998991	0.909483	0.999973	0.999996	0.999406	0.993971	0.996673	0.999828	0.999996	0.779319	0.970416	4	2	2	2	2	3	2	4	4	4	2	1	5	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6
AREL1	0.20008	0.62886	0.199	0.53054	0.87329	0.2642	0.35838	0.72236	0.96756	0.39432	0.9756	0.84559	0.23338	0.078608	-0.192185	-0.08962400000000001	0.08290499999999999	-0.930325	-0.3930665	-0.300855	-0.5762499999999999	-1.1876950000000002	-0.68497	0.063366	-0.499375	-0.5851999999999999	0.239137	0.32101999999999997	0.38682	0.76204	0.37747000000000003	0.72882	0.87351	0.48664	0.52141	0.84323	0.96845	0.6066	0.97564	0.85079	0.45126	0.19173	0.4124910794052506	0.11802223164814242	0.4231175588750222	0.1373797181282805	0.0587321188207643	0.31279219654513307	0.2828206438558897	0.07405395075262941	0.01392279650877237	0.21709759402535528	0.01071040247150831	0.07017762334187788	0.3455731609384774	0.7173099277317818	0.998643	0.999874	0.999582	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.999828	0.999996	0.975675	0.935274	2	2	3	1	0	2	2	2	0	1	0	1	2	3	5	6	5	6	6	6	6	6	6	5	6	6	6	6
ARID1A	0.0033582	0.0026425	0.0014723	0.0057044	0.031856	4.0235e-4	0.0011951	0.054365	0.039901	0.33172	0.36588	0.69939	0.97164	0.99665	1.4836049999999998	0.777736	0.88359	1.3897750000000002	0.1674735	1.4856449999999999	0.89947	1.100875	0.91395	0.01333999999999999	0.24178	0.41044	-0.40558000000000005	-0.92534	0.016108	0.012493	0.0073665	0.026134	0.094414	0.0019566	0.0050305	0.17267	0.13194	0.54908	0.5972	0.76597	0.97217	0.99696	1.792958379064606	1.9033332600246178	2.132738806812715	1.5827941132356698	1.0249636023975386	2.7084979508103992	2.2983888466639413	0.7627831109919985	0.879623520255566	0.2603643749899967	0.22388020094701225	0.11578823962274538	0.012257784861437701	0.0013222660893136865	0.594971	0.422315	0.307729	0.536775	0.974501	0.485767	0.362168	0.978483	0.957677	0.996673	0.999828	0.999996	0.999996	0.999996	6	5	6	4	2	5	2	3	5	2	3	1	0	0	6	6	6	6	6	6	6	6	6	5	6	6	6	6
ARIH1	4.2594e-4	2.2338e-6	0.0023482	8.1381e-4	0.058565	0.80472	0.99978	0.0011253	0.048055	0.010114	0.029311	0.62609	0.82799	0.97745	3.853605	3.530616	2.92817	3.4943750000000002	-0.3589265	-1.222955	-4.28805	2.466705	1.1695099999999998	1.27074	-0.44879500000000005	-1.23627	-2.9979	-4.6695400000000005	0.0016845	2.6718e-5	0.009836	0.0032327	0.15845	0.84682	0.99981	0.0048394	0.13595	0.034165	0.072851	0.73551	0.85551	0.97799	2.773528984682861	4.573196054485133	2.0071814799333203	2.4904345967772077	0.8001077564736807	0.07220889346430891	8.252379157010987e-5	2.315208479851853	0.8666207880764811	1.466418574941294	1.1375644824457936	0.13341141822496835	0.06777490965363868	0.009665585873975622	0.109158	0.004332	0.354923	0.160891	0.999996	0.999973	0.999996	0.280471	0.957677	0.642201	0.8376	0.999996	0.999996	0.999996	3	5	5	4	1	1	0	4	2	2	1	1	1	0	4	5	5	4	6	5	6	5	5	4	3	6	5	6
ARIH2	0.028444	0.0012709	0.054712	0.13245	0.050383	0.24456	0.43167	0.028992	7.4927e-4	0.029831	0.0013345	3.1015e-4	0.50933	0.88546	0.452325	0.675776	0.60951	0.5111749999999999	0.4704035	0.465805	0.28654	0.764365	0.83308	0.5969	1.439785	0.7967500000000001	0.1442651	0.107122	0.099411	0.0063398	0.16044	0.31179	0.13945	0.46672	0.58354	0.10136	0.0038927	0.10316	0.0063414	0.0015587	0.70767	0.88574	1.0025655575042334	2.1979244424757476	0.7946873466903908	0.5061378179940779	0.8555814813979313	0.33094358822234254	0.23392936895216787	0.9941333981246151	2.409749064908843	0.9864886665341001	2.1978148517154517	2.8072374645943143	0.1501692148944122	0.05269374214955215	0.897946	0.249175	0.968386	0.998991	0.999996	0.999973	0.999996	0.855918	0.202574	0.954041	0.234088	0.148161	0.999996	0.999996	5	6	4	3	4	3	2	4	5	5	6	5	2	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ARMC5	0.42982	0.014741	0.050957	0.11404	0.17376	0.95912	0.9791	0.16073	0.15948	0.2575	0.0028124	0.19971	0.17465	0.21234	-0.114475	0.567546	0.7673	0.449885	0.4485535	-0.101915	-0.19813000000000003	0.326365	0.264	-0.38844999999999996	1.453485	0.19800600000000002	-0.36391000000000007	-0.43711000000000005	0.6529	0.054814	0.1527	0.27982	0.33456	0.95987	0.97914	0.36227	0.35798	0.49166	0.013453	0.37319	0.38289	0.3892	0.1851533313955367	1.2611085045407973	0.8161609629435788	0.553121247745475	0.4755259845264033	0.017787581653857402	0.009155207195330048	0.4409676289075241	0.4461412362954265	0.30833512318414236	1.8711808578054896	0.42807000212544466	0.4169259760433577	0.4098271684036857	0.998643	0.807042	0.94616	0.998991	0.999996	0.999973	0.999996	0.999406	0.99906	0.996673	0.423931	0.999996	0.975239	0.995753	3	5	4	4	3	0	0	2	3	3	5	3	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6
