UNIPROT_ID,Protein_name,Gene,MUT_dTAG_1h,MUT_dTAG_1h-LogP,MUT_dTAG_6h,MUT_dTAG_6h-LogP,MUT_dTAG_24h,MUT_dTAG_24h-LogP,MUT_dTAG_48h,MUT_dTAG_48h-LogP,WT_DMSO_24h,WT_DMSO_24h-LogP,Fasta_headers
Q7Z7E8;Q8WVN8,UB2Q1_HUMAN;UB2Q2_HUMAN,UBE2Q1;UBE2Q2,0.2028257052103678,1.6574476105316471,0.0778203010559082,0.517010835440793,0.1938072840372721,1.358725522949993,0.0289483070373535,0.167594732165673,0.0320288340250651,0.1916826787731471,sp|Q7Z7E8|UB2Q1_HUMAN Ubiquitin-conjugating enzyme E2 Q1 OS=Homo sapiens OX=9606 GN=UBE2Q1 PE=1 SV=1;sp|Q8WVN8|UB2Q2_HUMAN Ubiquitin-conjugating enzyme E2 Q2 OS=Homo sapiens OX=9606 GN=UBE2Q2 PE=1 SV=1
P13646;Q99456,K1C13_HUMAN;K1C12_HUMAN,KRT13;KRT12,2.3926293055216474,1.1401780813660691,0.361785888671875,-0.0,2.820939540863037,0.9103506120180082,2.964953184127808,0.6796594505726552,-0.1223915417989092,0.1522481274008141,"sp|P13646|K1C13_HUMAN Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4;sp|Q99456|K1C12_HUMAN Keratin, type I cytoskeletal 12 OS=Homo sapiens OX=9606 GN=KRT12 PE=1 SV=1"
P31323,KAP3_HUMAN,PRKAR2B,0.1993025143941245,1.1504835434072165,0.1602473258972168,0.9327375519532058,0.102131207784017,0.8853763219805705,0.3685364723205566,2.5094143921069563,-0.1424004236857095,1.0894832175451752,sp|P31323|KAP3_HUMAN cAMP-dependent protein kinase type II-beta regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2B PE=1 SV=3
P30049,ATPD_HUMAN,ATP5F1D,0.0540095965067545,0.5660732274870862,-0.0355671246846516,0.2602978878973476,0.0218680699666341,0.1363305104435559,-0.0160133043924967,0.1209790064407829,-0.0368925730387369,0.10499478538207,"sp|P30049|ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2"
Q9H6H4,REEP4_HUMAN,REEP4,0.0488441785176595,0.2081075387820431,0.0219333966573079,0.0571529975601392,-0.140942891438802,0.6015702231765915,-0.2964094479878744,1.3003475985555708,0.2820154825846354,1.1251346973945209,sp|Q9H6H4|REEP4_HUMAN Receptor expression-enhancing protein 4 OS=Homo sapiens OX=9606 GN=REEP4 PE=1 SV=1
O15091,MRPP3_HUMAN,PRORP,0.1725036303202312,1.6637790558958152,-0.1920971870422363,1.7326748266016856,0.0254599253336589,0.2491680333717412,0.1622735659281413,1.2774546914065943,0.0274241765340169,0.2751513097503513,sp|O15091|MRPP3_HUMAN Mitochondrial ribonuclease P catalytic subunit OS=Homo sapiens OX=9606 GN=PRORP PE=1 SV=2
Q9Y5N6,ORC6_HUMAN,ORC6,-0.250432809193929,2.7038678554788493,-0.2313612302144368,2.867811210364997,-0.0595642725626627,0.7206774706516644,-0.2395752271016438,2.2950107436629787,0.0123577117919921,0.0833435206111285,sp|Q9Y5N6|ORC6_HUMAN Origin recognition complex subunit 6 OS=Homo sapiens OX=9606 GN=ORC6 PE=1 SV=1
Q9H147,TDIF1_HUMAN,DNTTIP1,-0.1740743319193522,2.768306613298995,-0.072062333424886,1.441528645037692,-0.0847400029500325,1.1221233127150352,-0.3035127321879069,3.1721543264636534,0.0371809005737304,1.15327077576278,sp|Q9H147|TDIF1_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Homo sapiens OX=9606 GN=DNTTIP1 PE=1 SV=2
Q14554,PDIA5_HUMAN,PDIA5,0.2067443529764812,1.4025158725795182,0.1437055269877116,1.0316275252729512,-0.0755805969238281,0.567955825175573,0.4047322273254395,3.3538833773970858,-0.0393025080362955,0.3647765273973379,sp|Q14554|PDIA5_HUMAN Protein disulfide-isomerase A5 OS=Homo sapiens OX=9606 GN=PDIA5 PE=1 SV=1
O14907,TX1B3_HUMAN,TAX1BP3,0.0638442039489746,0.3233338037544243,-0.0525101025899252,0.4188074619143759,0.1282583872477212,0.948270817292682,-0.013338565826416,0.0387269233694756,-0.0716740290323894,0.1105817984385162,sp|O14907|TX1B3_HUMAN Tax1-binding protein 3 OS=Homo sapiens OX=9606 GN=TAX1BP3 PE=1 SV=2
Q9UDY4,DNJB4_HUMAN,DNAJB4,0.0243051846822103,0.2153932516776979,-0.1455365816752115,1.8520039339185173,-0.0086634953816732,0.0785150474863106,0.0151677131652832,0.101188938228438,-0.0523929595947265,0.648926286407151,sp|Q9UDY4|DNJB4_HUMAN DnaJ homolog subfamily B member 4 OS=Homo sapiens OX=9606 GN=DNAJB4 PE=1 SV=1
Q8TCX1,DC2L1_HUMAN,DYNC2LI1,0.0187039375305175,0.1108472630307549,-0.0092625617980957,0.0674182915121043,0.0501667658487954,0.2765498559724355,0.1021580696105957,0.6677821232313602,-0.2383130391438803,1.2813577656929045,sp|Q8TCX1|DC2L1_HUMAN Cytoplasmic dynein 2 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC2LI1 PE=1 SV=1
Q8N392;Q9P2N2,RHG18_HUMAN;RHG28_HUMAN,ARHGAP18;ARHGAP28,-0.0370526313781738,0.3295716932945974,-0.0287569363911945,0.2482712752587708,-0.0051463445027668,0.021711061754802,0.1511499087015788,1.1860823060372627,0.2805159886678059,2.0522869856025245,sp|Q8N392|RHG18_HUMAN Rho GTPase-activating protein 18 OS=Homo sapiens OX=9606 GN=ARHGAP18 PE=1 SV=3;sp|Q9P2N2|RHG28_HUMAN Rho GTPase-activating protein 28 OS=Homo sapiens OX=9606 GN=ARHGAP28 PE=1 SV=3
Q8NFW8,NEUA_HUMAN,CMAS,0.1757569313049317,1.6828004557589955,-0.0566277503967285,0.6358663640725212,0.0827490488688151,0.8104458926658173,0.2678074836730957,2.436051646756507,-0.1155042648315429,0.9565939171522324,sp|Q8NFW8|NEUA_HUMAN N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2
Q9UK53,ING1_HUMAN,ING1,0.0997583071390788,1.943979585684579,-0.0641802151997884,0.6872044603774852,-0.1933743158976237,1.0173593916115202,0.0196757316589354,0.1656613286043877,-0.0331370035807291,0.5451829739500019,sp|Q9UK53|ING1_HUMAN Inhibitor of growth protein 1 OS=Homo sapiens OX=9606 GN=ING1 PE=1 SV=2
O75886,STAM2_HUMAN,STAM2,0.0756122271219889,0.4154206367708952,0.0564707120259602,0.2181618840560445,0.1495621999104817,1.032357478767011,0.2029728889465332,1.2382500239967038,-0.0537805557250976,0.2217510717173424,sp|O75886|STAM2_HUMAN Signal transducing adapter molecule 2 OS=Homo sapiens OX=9606 GN=STAM2 PE=1 SV=1
P10620,MGST1_HUMAN,MGST1,0.0074769655863443,0.071371864224532,0.0618220965067545,0.587250817514139,-0.0196698506673177,0.1256070175186429,-0.0359559059143066,0.1715404543356957,-0.0045468012491861,0.019662337309935,sp|P10620|MGST1_HUMAN Microsomal glutathione S-transferase 1 OS=Homo sapiens OX=9606 GN=MGST1 PE=1 SV=1
Q86TM6,SYVN1_HUMAN,SYVN1,-0.2005960146586101,1.8157229222235511,-0.1357607841491699,2.112778646195699,0.0943600336710612,0.4004339219678009,0.0210245450337727,0.1757985208270972,-0.0816694895426433,0.578952316517524,sp|Q86TM6|SYVN1_HUMAN E3 ubiquitin-protein ligase synoviolin OS=Homo sapiens OX=9606 GN=SYVN1 PE=1 SV=2
Q9Y496,KIF3A_HUMAN,KIF3A,-0.005309263865153,0.0475495460330999,-0.0086592038472493,0.0932552512550028,0.0921723047892252,0.8632315276345113,0.013251781463623,0.1265092878924431,-0.0053704579671224,0.0488332163965644,sp|Q9Y496|KIF3A_HUMAN Kinesin-like protein KIF3A OS=Homo sapiens OX=9606 GN=KIF3A PE=1 SV=4
Q14BN4,SLMAP_HUMAN,SLMAP,-0.1560263633728027,1.0432407116567597,-0.1817196210225422,1.170991345688891,-0.1897230148315429,1.128845894196102,-0.0697347323099771,0.4290792822549773,-0.1299956639607746,0.5930092765450021,sp|Q14BN4|SLMAP_HUMAN Sarcolemmal membrane-associated protein OS=Homo sapiens OX=9606 GN=SLMAP PE=1 SV=1
Q9H6V9,LDAH_HUMAN,LDAH,0.0238130887349446,0.2835194866923844,0.0029266675313313,0.0298240914967806,-0.0651117960611979,0.6335590611701026,0.039741039276123,0.5629499352326274,0.0117044448852539,0.1248439174549635,sp|Q9H6V9|LDAH_HUMAN Lipid droplet-associated hydrolase OS=Homo sapiens OX=9606 GN=LDAH PE=1 SV=1
P01116,RASK_HUMAN,KRAS,-0.0153517723083496,0.0779352471631888,-0.1789495150248208,0.9378639720335734,-0.1812191009521484,1.462831308233601,-0.0579171180725097,0.2686867937579454,0.0168085098266601,0.0527895504651713,sp|P01116|RASK_HUMAN GTPase KRas OS=Homo sapiens OX=9606 GN=KRAS PE=1 SV=1
Q9P2B4,CT2NL_HUMAN,CTTNBP2NL,0.0431342124938964,0.2620795673729489,-0.1564504305521647,1.2260404792554105,0.0821447372436523,0.3867928233967196,-0.027474562327067,0.1595641122087789,0.1001717249552408,0.4995227202436967,sp|Q9P2B4|CT2NL_HUMAN CTTNBP2 N-terminal-like protein OS=Homo sapiens OX=9606 GN=CTTNBP2NL PE=1 SV=2
Q9BSF4,TIM29_HUMAN,TIMM29,-0.1272339820861816,0.4603987748281284,-0.0571697552998859,0.2815536010191712,-0.0897366205851237,0.3333549175836785,-0.1117761929829914,0.5585343213327716,-0.0455169677734375,0.1584027237496539,sp|Q9BSF4|TIM29_HUMAN Mitochondrial import inner membrane translocase subunit Tim29 OS=Homo sapiens OX=9606 GN=TIMM29 PE=1 SV=2
Q9Y2D2,S35A3_HUMAN,SLC35A3,0.2454934120178222,1.4452795499352673,0.1948561668395996,1.10087437506948,-0.0703659057617187,0.3065782808472337,0.4137075742085774,1.8737564814880487,-0.0585969289143881,0.32869978324863,sp|Q9Y2D2|S35A3_HUMAN UDP-N-acetylglucosamine transporter OS=Homo sapiens OX=9606 GN=SLC35A3 PE=1 SV=1
Q9UPU7,TBD2B_HUMAN,TBC1D2B,-0.1983768145243327,1.918345328864488,0.0450644493103027,0.5724056972337602,0.0580310821533203,0.207321541010907,-0.043037255605062,0.5252231955238916,0.0935204823811848,0.7341381556013824,sp|Q9UPU7|TBD2B_HUMAN TBC1 domain family member 2B OS=Homo sapiens OX=9606 GN=TBC1D2B PE=1 SV=2
Q9Y2B0,CNPY2_HUMAN,CNPY2,0.0755731264750161,0.554324822268993,-0.1302514076232911,0.955905851152003,0.0208778381347656,0.1316227783861198,-0.1223320960998536,0.7394568917186058,-0.1413599650065105,0.3309201479190253,sp|Q9Y2B0|CNPY2_HUMAN Protein canopy homolog 2 OS=Homo sapiens OX=9606 GN=CNPY2 PE=1 SV=1
Q15542,TAF5_HUMAN,TAF5,0.1228658358256021,0.8452330817913919,-0.1836873690287273,1.1900024484744964,0.1606213251749674,1.053289174989585,0.095220406850179,0.6190842518281627,0.0624272028605142,0.3689177290014362,sp|Q15542|TAF5_HUMAN Transcription initiation factor TFIID subunit 5 OS=Homo sapiens OX=9606 GN=TAF5 PE=1 SV=3
P28062,PSB8_HUMAN,PSMB8,-0.1290364265441894,0.8546671407243586,0.0294982592264811,0.1871652182568634,-0.0466807683308919,0.1948885205111915,-0.1314050356547038,1.864188280894111,0.0382595062255859,0.4063274156458973,sp|P28062|PSB8_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=3
Q86V42,F124A_HUMAN,FAM124A,0.4629206657409668,1.0497765614806618,0.2987357775370278,2.899348301879761,0.4008239110310869,2.062496130490996,0.2067405382792153,1.2699643844076165,0.387797673543294,0.8376096827238163,sp|Q86V42|F124A_HUMAN Protein FAM124A OS=Homo sapiens OX=9606 GN=FAM124A PE=1 SV=1
A6NCE7;Q9GZQ8;Q9H492,MP3B2_HUMAN;MLP3B_HUMAN;MLP3A_HUMAN,MAP1LC3B2;MAP1LC3B;MAP1LC3A,-0.0525657335917154,0.2423311631234048,-0.0489350954691568,0.2424287936758804,-0.245740254720052,1.2071225135595078,-0.0481820106506347,0.2497222898896925,-0.0379387537638346,0.1866250659693754,sp|A6NCE7|MP3B2_HUMAN Microtubule-associated protein 1 light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=1 SV=1;sp|Q9GZQ8|MLP3B_HUMAN Microtubule-associated protein 1 light chain 3 beta OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3;sp|Q9H492|MLP3A_HUMAN Microtubule-associated protein 1 light chain 3 alpha OS=Homo sapiens OX=9606 GN=MAP1LC3A PE=1 SV=2
O14730,RIOK3_HUMAN,RIOK3,0.0332318941752118,0.1516159950017851,0.2417330741882324,1.410322255457704,0.0806433359781904,0.2993012817077245,0.0243500073750815,0.1220258630268631,-0.0536327362060546,0.2093121777491532,sp|O14730|RIOK3_HUMAN Serine/threonine-protein kinase RIO3 OS=Homo sapiens OX=9606 GN=RIOK3 PE=1 SV=2
P42694,HELZ_HUMAN,HELZ,0.1007301012674968,0.9799706613662108,-0.1431047121683755,1.117782888046127,0.0716718037923176,0.6628082716346377,0.119274616241455,0.7189564496714401,-0.0001821517944335,0.0009351320087334,sp|P42694|HELZ_HUMAN Probable helicase with zinc finger domain OS=Homo sapiens OX=9606 GN=HELZ PE=1 SV=2
Q9BV57,MTND_HUMAN,ADI1,-0.2084765434265136,1.6230416425636789,-0.2351390520731606,1.2328471434998518,0.1313114166259765,0.7141266490606047,-0.0116111437479653,0.0356255733664115,-0.1013333002726235,0.1556011505373991,sp|Q9BV57|MTND_HUMAN Acireductone dioxygenase OS=Homo sapiens OX=9606 GN=ADI1 PE=1 SV=1
Q9UPR3,SMG5_HUMAN,SMG5,-0.1452975273132324,0.6732132610704563,-0.0629893938700357,0.2291486221202336,-0.0027745564778646,0.0092922241279029,-0.2593925793965657,1.1649698406186682,-0.0631570816040039,0.2833637668723347,sp|Q9UPR3|SMG5_HUMAN Nonsense-mediated mRNA decay factor SMG5 OS=Homo sapiens OX=9606 GN=SMG5 PE=1 SV=3
Q96RT7,GCP6_HUMAN,TUBGCP6,0.3517696062723798,1.233329894579723,0.227561791737874,0.705175543985305,-0.1822773615519208,0.4012032425401645,0.4073999722798662,1.0886895891179502,-0.141763687133789,0.3939020223159721,sp|Q96RT7|GCP6_HUMAN Gamma-tubulin complex component 6 OS=Homo sapiens OX=9606 GN=TUBGCP6 PE=1 SV=3
